question,answer
Do [ Perinatal variables from newborns of Aymara mothers suggest a genetic adaptation to high altitude ]?,"Altitude of residence is related to a decrease in perinatal variables that proved to be less pronounced in newborns of mothers with a higher degree of Aymara ancestry. RESULTS suggest a genetic adaptation to hypoxia that could be related to candidate genes linked to the capture, transport or utilization of oxygen."
Is 25-hydroxyvitamin D status associated with chronic cerebral small vessel disease?,"25(OH)D is inversely associated with lacunes, white matter hyperintensity, and deep CMB. Our findings suggest that 25(OH)D is linked to small vessel disease, and in future trials it should be tested whether 25(OH)D supplementation can prevent small vessel disease."
Is cD133-positive tumor cell content a predictor of early recurrence in colorectal cancer?,"These findings indicate that CD133 is a valid marker for identifying cancer stem cells from fresh surgically resected colorectal cancer tissues. Furthermore, we successfully established a living tumor tissue bank using surgically resected colorectal tissues with a viability of >70%."
Does traumatic brain injury induce neuroinflammation and neuronal degeneration that is associated with escalated alcohol self-administration in rats?,"These results show an association between post-TBI escalation of alcohol drinking and marked localized neuroinflammation at the site of injury. Moreover, these results highlight the relevance of baseline alcohol preference in determining post-TBI alcohol drinking. Further investigation to determine the contribution of neuroinflammation to increased alcohol drinking post-TBI is warranted."
Does a dedicated research program increase the quantity and quality of orthopaedic resident publications?,"Currently in the United States, there are no standard policies or requirements that dictate how research should be incorporated in orthopaedic surgery residency training programs. The results of our study suggest that implementation of a dedicated resident research program improves the quantity and to some extent quality of orthopaedic resident research publications, but this effect did not persist after graduation."
Do no sex differences exist in posterior condylar offsets of the knee?,"Results of our study showed that knees in males exhibited greater posterior condylar offset and greater total condylar height at the medial and lateral femoral condyles, however, there were no sex differences in the ratio of posterior condylar offset to condylar height at either condyle."
Do gene polymorphisms of stress hormone and cytokine receptors associate with immunomodulatory profile and psychological measurement?,The data support the notion that gene polymorphisms from various components of the psychoneuroendocrine-immune network may be useful as biomarkers to categorize individual stress-associated immune responses.
Does intra-articular injection of synthetic microRNA-210 accelerate avascular meniscal healing in rat medial meniscal injured model?,An intra-articular injection of ds miR-210 was effective in the healing of the damaged white zone meniscus through promotion of the collagen type 2 production from meniscus cells and through upregulated of VEGF and FGF2 from synovial cells.
Is cartilage thickness at the posterior medial femoral condyle increased in femorotibial knee osteoarthritis : a cross-sectional CT arthrography study ( Part 2 )?,"Cartilage thickness at the non-weight-bearing posterior aspect of the medial condyle, but not of the lateral condyle, was increased in OA knees compared to non-OA knees. Furthermore, cartilage thickness at the posterior aspect of the medial condyle increased with increasing K/L grade."
Does loss of Frzb and Sfrp1 differentially affect joint homeostasis in instability-induced osteoarthritis?,"Using the DMM model, we demonstrated that FRZB and SFRP1 differentially modulate joint homeostasis in two distinct compartments of the joint. These data highlight the fine-tuning of Wnt signaling in joint homeostasis and disease, show differential regulation of the cascade in cartilage and subchondral bone, and provide further evidence for a role of endogenous Wnt modulators as key players in OA."
Does tetraploid complementation prove pluripotency of induced pluripotent stem cells derived from adipose tissue?,"We also directed differentiation of iPS cells into chondrocytes, thus adipose-derived iPS cells can be used as models to study chondrogenic differentiation and cartilage regeneration."
Is enhancement of in vitro activity of tuberculosis drugs by addition of thioridazine reflected by improved in vivo therapeutic efficacy?,"Thioridazine is bactericidal towards Mtb in vitro, irrespective the mycobacterial growth rate and results in enhanced activity of the standard regimen. The in vitro activity of thioridazine in potentiating isoniazid and rifampicin is not reflected by improved therapeutic efficacy in a murine TB-model."
Does syngap1 haploinsufficiency damage a postnatal critical period of pyramidal cell structural maturation linked to cortical circuit assembly?,Pathogenic Syngap1 mutations have a profound impact on the dynamics and structural integrity of pyramidal cell postsynaptic structures known to guide the de novo wiring of nascent cortical circuits. These findings support the idea that disrupted critical periods of dendritic growth and spine plasticity may be a common pathologic process in developmental brain disorders.
Is pentraxin 3 reduced in bipolar disorder?,Individuals with bipolar disorder have low levels of pentraxin 3 which may reflect impaired innate immunity. An increased understanding of the role of innate immunity in the etiopathogenesis of bipolar disorder might lead to new modalities for the diagnosis and treatment of this disorder.
Is cDK1 and CDK2 activity a strong predictor of renal cell carcinoma recurrence?,CDK1SA of tumors and the CDK2SA are both associated with recurrence and prognosis.
Does mild cognitive dysfunction affect diabetes mellitus control in minority elderly adults?,"Cognitive dysfunction in the mild range did not seem to affect diabetes mellitus control parameters in this multiethnic cohort of older adults with diabetes mellitus, although it cannot be excluded that cognitive impairment was overcome through assistance from formal or informal caregivers. It is possible that more-severe cognitive dysfunction could affect control."
Do molecular signatures of mood stabilisers highlight the role of the transcription factor REST/NRSF?,Cell line models offer a window of what might happen in vivo but have the benefit of being human derived and homogenous with regard to cell type.
Is sleep efficiency ( but not sleep duration ) of healthy school-age children associated with grades in math and languages?,"Sleep efficiency, but not sleep duration, is associated with academic performance as measured by report-card grades in typically developing school-aged children. The integration of strategies to improve sleep efficiency might represent a successful approach for improving children's readiness and/or performance in math and languages."
Is late onset spinal motor neuronopathy caused by mutation in CHCHD10?,"Mutation c.197G>T p.G66V in CHCHD10 is the cause of the lower motor neuron syndrome LOSMoN/SMAJ. During the preparation of this article other mutations were reported to cause frontotemporal dementia-amyotrophic lateral sclerosis syndrome, indicating that the CHCHD10 gene is largely important for the motor and cognitive neuronal systems."
Does clinical evaluation of pazopanib eye drop versus ranibizumab intravitreal injections in subjects with neovascular age-related macular degeneration?,Pazopanib was well tolerated. Daily pazopanib eye drops in neovascular AMD subjects did not result in therapeutic benefit beyond that obtained with ranibizumab alone.
Does long-term treadmill exercise attenuate tau pathology in P301S tau transgenic mice?,"Our results suggest that forced treadmill exercise differently affects the brain and spinal cord of aged P301S tau mice, with greater benefits observed in the spinal cord versus the brain. Our work adds to the growing body of evidence that exercise is beneficial in tauopathy, however these benefits may be more limited at later stages of disease."
Does subclinical left ventricular dysfunction by echocardiographic speckle-tracking strain analysis relate to outcome in sarcoidosis?,"LVGLS is impaired in sarcoidosis patients, suggesting subclinical cardiac dysfunction despite the absence of conventional evidence of cardiac disease, and is independently associated with occurrence of cardiac events and/or development of CS."
Does a systematic review identify valid comorbidity indices derived from administrative health data?,"A number of valid comorbidity indices derived from administrative data are available. Selection of an appropriate index should take into account the type of data available, study population, and specific outcome of interest."
Do comparative metabolomics in vegans and omnivores reveal constraints on diet-dependent gut microbiota metabolite production?,"Evidently, residence in globally distinct societies helps determine the composition of the gut microbiota that, in turn, influences the production of diet-dependent gut microbial metabolites."
"Is disruption of SOX6 associated with a rapid-onset dopa-responsive movement disorder , delayed development , and dysmorphic features?",This is the first report of a dopa-responsive movement disorder associated with SOX6 disruption. SOX6 mutations should be considered in the differential diagnosis of unexplained dopa-responsive dystonia syndromes.
Does transcriptome analysis of proton pump inhibitor-responsive esophageal eosinophilia reveal proton pump inhibitor-reversible allergic inflammation?,"These findings provide definitive evidence that PPI-REE is a disease entity with significant molecular overlap with EoE, suggesting that many patients with PPI-REE represent a continuum of the same pathogenic allergic mechanisms that underlie EoE and thus might constitute a subphenotype of patients with EoE. The ability of PPI therapy to nearly entirely reverse gene expression associated with PPI-REE, particularly that associated with classic features of allergic inflammation, provides new insight into potential disease etiology and management strategies for patients with significant esophageal eosinophilia."
Does rotenone impair autophagic flux and lysosomal functions in Parkinson 's disease?,These studies indicate that the lysosomal dysfunction contributes to rotenone's neurotoxicity and restoration of lysosomal function could be a new therapeutic strategy for Parkinson's disease.
Are maternal salivary cortisol levels during pregnancy positively associated with overweight children?,"Our findings suggest a relatively consistent association between pregnancy cortisol levels and overweight offspring, especially in the second trimester."
Is less advanced disease at initiation of salvage androgen deprivation therapy associated with decreased mortality following biochemical failure post-salvage radiation therapy?,"Less advanced disease at initiation of SADT is associated with decreased PCSM and OM following BF post-SRT; however, observation may be reasonable for patients with very long PSADTs. A PSADT <3 months prior to SADT initiation significantly predicts an increased risk of PCSM and OM in this patient demographic."
Are aggregate National Early Warning Score ( NEWS ) values more important than high scores for a single vital signs parameter for discriminating the risk of adverse outcomes?,"The recommended NEWS escalation protocol produces additional work for the bedside nurse and responding doctor, disproportionate to a modest benefit in increased detection of adverse outcomes. It may have significant ramifications for efficient staff resource allocation, distort patient safety focus and risk alarm fatigue. Our findings suggest that the RCPL escalation guidance warrants review."
Are plant communities on infertile soils less sensitive to climate change?,"Based on the current balance of evidence, plant communities on infertile serpentine soils are less sensitive to changes in the climatic water balance than communities on more fertile soils. However, this advantage may in some cases be lessened by their sparser overstorey cover."
Is intranodal cytokeratin particles a predictive marker of efficacy for neoadjuvant therapies in patients with squamous cell carcinoma of the esophagus?,Our findings suggest that HCP might reflect a degenerative change of cancer cells in lymph nodes and can predict the response to neoadjuvant therapy.
Does iNKT/CD1d-antitumor immunotherapy significantly increase the efficacy of therapeutic CpG/peptide-based cancer vaccine?,"Altogether, our study in mice demonstrates that αGC/CD1d-antitumor fusion protein greatly increases the efficacy of a therapeutic CpG-based cancer vaccine, first as an adjuvant during T cell priming and second, as a therapeutic agent to redirect immune responses to the tumor site."
Does a shoe insole delivering subsensory vibratory noise improve balance and gait in healthy elderly people?,This study provides proof of concept that the application of the principle of stochastic resonance to the foot sole sensory system using a new low-voltage piezoelectric technology can improve measures of balance and gait that are associated with falls. Effective vibratory noise amplitudes range from 70% to 85% of the sensory threshold and can be set once daily.
Do sleep spindle and slow wave frequency reflect motor skill performance in primary school-age children?,"Children enhance their accuracy only over an interval with sleep. Unlike previously reported in adults, children enhance their speed independent of sleep, a capacity that may to be lost in adulthood. Individual differences in the dominant frequency of spindles and slow waves were predictive for performance: children performed better if they had less slow spindles, more fast spindles and faster slow waves. On the other hand, overnight enhancement of accuracy was most pronounced in children with more slow spindles and slower slow waves, i.e., the ones with an initial lower performance. Associations of spindle and slow wave characteristics with initial performance may confound interpretation of their involvement in overnight enhancement. Slower frequencies of characteristic sleep events may mark slower learning and immaturity of networks involved in motor skills."
Is prostate-specific antigen doubling time subsequent to radical prostatectomy a predictor of outcome following salvage external beam radiation therapy : a single-centre experience?,"Salvage EBRT provides effective long-term BFR and metastatic-free survival in a selected group of patients with detectable, rising prostate-specific antigen values following radical prostatectomy. SVI and PSADT are prognostic variables for a non-durable response to salvage EBRT and thus predictors of high-risk prostate cancer in patients in whom neoadjuvant and adjuvant androgen deprivation therapy should be considered."
Is head-shaft angle a risk factor for hip displacement in children with cerebral palsy?,A high HSA appears to be a risk factor for hip displacement in children with CP.
Does elevated amygdala activity during reappraisal anticipation predict anxiety in avoidant personality disorder?,"Our finding of exaggerated amygdala activity during reappraisal anticipation could reflect anxiety about the impending need to reappraise, anxiety about the certainty of an upcoming negative image, or anxiety relating to anticipated scrutiny of task responses by the experimenters. While we believe that all of these possibilities are consistent with the phenomenology of avoidant personality disorder, future research may clarify this ambiguity."
Does prenatal marijuana exposure predict marijuana use in young adulthood?,PME is associated with subsequent marijuana use in young adulthood after considering the effects of other significant factors. These findings have important implications for public health given the recent trend toward legitimization of marijuana use.
Does light alcohol consumption play a protective role against non-alcoholic fatty liver disease in Japanese men with metabolic syndrome?,"The prevalence of NAFLD in light drinkers was significantly lower than in non-drinkers, and supporting previous reports studying the general population, LAC is one of the significant predictors of a decreased prevalence of NAFLD in men with MS."
Does microRNA-19a enhance proliferation of bronchial epithelial cells by targeting TGFβR2 gene in severe asthma?,Our study uncovers a new regulatory pathway involving miR-19a that is critical to the severe phenotype of asthma and indicates that downregulating miR-19a expression could be explored as a potential new therapy to modulate epithelium repair in asthma.
Is blood alcohol concentration negatively associated with gambling money won on the Iowa gambling task in naturalistic settings after controlling for trait impulsivity and alcohol tolerance?,Trait impulsivity and habitual alcohol use were also significant predictors. Results are discussed in terms of acute effects of alcohol on brain systems and the behavioural consequences of such effects on decision making.
Is vascular injury associated with increased mortality in winter sports trauma?,"Although vascular injury is an uncommon associated finding in winter sports trauma, it is associated with a significant increase in mortality. These findings highlight the need for rapid identification of traumatic vascular injuries, which predicts worse overall outcomes in this patient population."
Is real-time three-dimensional transesophageal echocardiography useful for percutaneous closure of multiple secundum atrial septal defects?,"RT-3D-TEE provides reliable diagnostic evidence of multiple ASDs and can help the clinician to select an appropriate operation scheme according to the number and morphology of multiple defects prior to percutaneous transcatheter closure. It also allows for proper positioning of the devices during the procedure and provides an effective means of evaluating the success of the procedure. For two devices to be implanted simultaneously in multiple ASDs, the usual requirement for the distance between the two defects may differ between our domestically made devices and the Amplatzer occluder."
Do longitudinal patterns of cortisol regulation differ in maltreated and nonmaltreated children?,"Interventions for maltreated children may benefit from pre- and post-intervention HPA assessments to determine a component of treatment efficacy. As maltreatment dimensions predicted differential cortisol regulation, assessment of maltreatment experiences is necessary to understand alterations in behavior and HPA regulation post-intervention."
Does substance Use and Related harm Among Adolescents With and Without Traumatic Brain Injury?,There are strong and demographically stable associations between TBI and substance use. These associations may not only increase the odds of injury but impair the quality of postinjury recovery.
Is increased serum cancer antigen-125 a marker for severity of deep endometriosis?,"Serum CA-125 levels were significantly increased in women with severe forms of endometriosis, OMA, and DIE lesions. In addition, elevated serum Ca-125 levels were associated with more severe and extended DIE lesions. In women with superficial peritoneal lesions, CA-125 levels were not different from women without endometriosis."
Do detailed characterization of tumor infiltrating lymphocytes in two distinct human solid malignancies show phenotypic similarities?,"This study demonstrates that multi-color flow cytometry of freshly digested tumor samples reveals phenotypic differences in TIL vs PBL T cell sub-populations. The TIL composition in primary and metastatic tumors from two distinct histologies were remarkably similar, showing a greater proportion of activated/suppressive Treg (HLA-DR(+), CD39(+), CTLA-4(+) and Helios(+)) and activated cytotoxic T cells (CD8(+)/HLA-DR(+)/CD38(+)) when compared to PBL and an increase in IL-6 mRNA from CD4 TIL."
Is long-term therapy with temozolomide a feasible option for newly diagnosed glioblastoma : a single-institution experience with as many as 101 temozolomide cycles?,"This study describes the longest experience so far reported with TMZ in patients with newly diagnosed glioblastomas, with as many as 101 cycles, who were treated using GTR. Statistically significant data confirm that median survival correlates with MGMT promoter methylation status as well as with the number of TMZ cycles administered. Long-term TMZ therapy appears feasible and safe."
Is weight based heparin dosing for thromboembolic disease associated with earlier anticoagulation in surgical patients?,Surgical patients who received an initial weight based UFH infusion achieved earlier therapeutic anticoagulation compared to under-dosed UFH without increasing the occurrence of supratherapeutic PTT levels or hemorrhagic events.
Does prospective international cohort study demonstrate inability of interim PET to predict treatment failure in diffuse large B-cell lymphoma?,"This large international cohort delivers 3 novel findings: treatment response assessed by I-PET is comparable across disparate healthcare systems, secondly a negative I-PET findings together with good clinical status identifies a group with an EFS of 98%, and thirdly a single I-PET scan does not differentiate chemoresistant lymphoma from complete response and cannot be used to guide risk-adapted therapy."
Does prenatal zinc reduce stress response in adult rat offspring exposed to lipopolysaccharide during gestation?,"Our findings suggest a potential beneficial effect of prenatal zinc, in which the stress response was reduced in offspring that were stricken with infectious/inflammatory processes during gestation."
Does maternal immune activation in nonhuman primates alter social attention in juvenile offspring?,"In the rhesus monkey model, exposure to MIA at the end of the first trimester results in abnormal gaze patterns to salient social information. The use of noninvasive eye tracking extends the findings from rodent MIA models to more human-like behaviors resembling those in both autism spectrum disorder and schizophrenia."
Does cXCR3 antagonist VUF10085 bound to an intrahelical site distinct from that of the broad spectrum antagonist TAK-779?,"This more detailed definition of a binding pocket within CXCR3 for low MW antagonists should facilitate the rational design of newer CXCR3 antagonists, with obvious clinical potential."
Does experimental diabetes mellitus type 1 increase hippocampal content of kynurenic acid in rats?,"A novel factor potentially implicated in diabetic hippocampal dysfunction has been identified. Observed increase of KYNA level may stem from the activation of endogenous neuroprotection, however, it may also have negative impact on cognition."
Is interferon lambda-3 associated with clinical outcome in patients with HCV-induced compensated cirrhosis : a long-term cohort study?,"IFN-λ3 determination is fundamental for allocating cirrhotic patients to be treated with IFN, while it has no value in predicting the outcome of the disease."
Does dorsomedial Prefrontal Cortex mediate the Impact of Serotonin Transporter Linked Polymorphic Region Genotype on Anticipatory Threat Reactions?,The converging results from these experiments demonstrate that innate 5-HTTLPR linked variation in dmPFC activity predicts psychophysiological responsivity to pending threats. Our results reveal a neurogenetic pathway mediating interindividual variability in anticipatory responses to threat and yield a novel mechanistic account for previously reported associations between genetic variability in serotonin transporter function and stress-related psychopathology.
Does intensity-modulated whole pelvic radiotherapy provide effective dosimetric outcomes for cervical cancer treatment with lower toxicities?,An intensity-modulated radiotherapy plan with appropriate margins encompassing the primary tumour and potential microscopic pelvic disease reduces the dose to organs at risk without compromising target coverage. Intensity-modulated radiotherapy is an appropriate definitive treatment for patients with cervical cancer.
"Are socioeconomic inequalities still a barrier to full child vaccine coverage in the Brazilian Amazon : a cross-sectional study in Assis Brasil , Acre , Brazil?",This study showed that vaccine coverage in the first twelve months of life in Assis Brasil is similar to other areas in the Amazon and it is below the coverage postulated by the Brazilian Ministry of Health. Low vaccine coverage was associated with socioeconomic inequities that still prevail in the Brazilian Amazon. Short and long-term strategies must be taken to update child vaccines and increase vaccine coverage in the Amazon.
Does mental fatigue affect maximal anaerobic exercise performance?,"Near identical responses in performance and physiological parameters between mental fatigue and control conditions suggest that peripheral mechanisms primarily regulate maximal anaerobic exercise. Whereas mental fatigue can negatively impact submaximal endurance exercise, it appears that explosive power, voluntary maximal strength and anaerobic work capacity are unaffected."
Is tP53 Pro72 allele enriched in oral tongue cancer and frequently mutated in esophageal cancer in India?,Our study revealed the association of Pro72 allele with SCCOT suggesting the effect of this polymorphism on SCCOT risk. Preferential mutation of Pro72 allele exclusively in ESCC indicates the need for further studies to understand the tissue specific effect of p53 polymorphism.
Is integrin-based meningioma cell migration promoted by photon but not by carbon-ion irradiation?,Photon but not carbon-ion IR promotes serum-based meningioma cell migration. Fibronectin receptor integrin ανβ1 signaling can be identified as an important mechanism for serum- and photon-induced migration of WHO class I meningioma cells.
Does early-life stress selectively affect gastrointestinal but not behavioral responses in a genetic model of brain-gut axis dysfunction?,"Our data suggest that early-life stress, on the background of a genetic predisposition to display an anxiety- and depressive-like phenotype, selectively influences GI function rather than stress-related behaviors. Thus, our findings highlight the importance of genetic predisposition on the outcome of early-life adversity on GI function."
Is low percentage of free prostate-specific antigen ( PSA ) a strong predictor of later detection of prostate cancer among Japanese men with serum levels of total PSA of 4.0 ng/mL or less?,A low %fPSA is a strong predictor of a subsequent diagnosis of prostate cancer among men with tPSA levels ≤4.0 ng/mL. Measurement of %fPSA might enhance the detection of high-grade cancer that warrants aggressive treatment.
"Is permanent His-bundle pacing feasible , safe , and superior to right ventricular pacing in routine clinical practice?",Permanent HBP without a mapping catheter or a backup right ventricular lead was successfully achieved in 80% of patients. PTh was higher and FT was comparable to those of the RVP group. Clinical outcomes were better in the HBP group than in the RVP group.
Does astaxanthin prevent TGFβ1-induced pro-fibrogenic gene expression by inhibiting Smad3 activation in hepatic stellate cells?,"Taken together, ASTX exerted anti-fibrogenic effects by blocking TGFβ1-signaling, consequently inhibiting the activation of Smad3 pathway in HSCs."
Does genome wide association study identify variants in NBEA associated with migraine in bipolar disorder?,Our study is based on self-reported migraine.
Is aberrant P-cadherin expression associated to aggressive feline mammary carcinomas?,"The results demonstrate a relationship between P-cadherin expression and aggressive biological behaviour of feline mammary carcinomas, suggesting that P-cadherin may be considered an indicator of poor prognosis in this animal species. Moreover, it indicates that, in queens, the aberrant expression of P-cadherin is a better marker of mammary carcinomas aggressive behaviour than the reduction of E-cadherin expression. Further investigation with follow-up studies in feline species should be conducted in order to evaluate the prognostic value of P-cadherin expression in E-cadherin positive carcinomas."
Does cannabidiol fail to reverse hypothermia or locomotor suppression induced by Δ ( 9 ) -tetrahydrocannabinol in Sprague-Dawley rats?,"There is no evidence from this study that elevated CBD content in cannabis could provide protection from the physiological effects of THC, in rats."
Are group 2 innate lymphoid cells ( ILC2s ) increased in chronic rhinosinusitis with nasal polyps or eosinophilia?,"As ILC2s are elevated in patients with CRSwNP, they may drive nasal polyp formation in CRS. ILC2s are also linked with high tissue and blood eosinophilia and have a potential role in the activation and survival of eosinophils during the Th2 immune response. The association of innate lymphoid cells in CRS provides insights into its pathogenesis."
Do tumor-infiltrating immune cell profiles and their change after neoadjuvant chemotherapy predict response and prognosis of breast cancer?,"Breast cancer immune cell subpopulation profiles, determined by immunohistochemistry-based computerized analysis, identify groups of patients characterized by high response (in the pre-treatment setting) and poor prognosis (in the post-treatment setting). Further understanding of the mechanisms underlying the distribution of immune cells and their changes after chemotherapy may contribute to the development of new immune-targeted therapies for breast cancer."
Is hidradenitis suppurativa a systemic disease with substantial comorbidity burden : a chart-verified case-control analysis?,Control subjects were not validated for absence of HS and comorbidity validation was not performed for either group.
Does reference range for serum and salivary testosterone in young men of Mediterranean region?,"In men from the Mediterranean region, values of TT>9.7 nmol/L, CFT>0.22 nmol/L, and/or CBT>4.9 nmol/L make the presence of biochemical hypogonadism unlikely. According to the correlation between serum and ST, the clinical value of ST remains to be established."
Do systematic Reviews Published in Emergency Medicine Journals Routinely Search Clinical Trials Registries : A Cross-Sectional Analysis?,"Systematic reviews published in emergency medicine journals do not routinely include searches of clinical trials registries. By helping authors identify unpublished trial data, the addition of registry searches may improve the validity of systematic reviews."
Does promoter variant rs2301228 on the neural cell adhesion molecule 1 gene confer risk of schizophrenia in Han Chinese?,"Our results provide direct evidence for NCAM1 as a susceptibility gene for schizophrenia, which offers support to a neurodevelopmental model and neuronal connectivity hypothesis in the onset of schizophrenia."
Are reasons why erupted third molars extracted in a public university in Mexico?,"Women and patients 18 to 34 years of age had erupted 3M extracted more frequently, primarily for prosthetic reasons. The age profile indicated a trend in demand for services that differ from those of overall tooth extractions, but not for the trend across gender."
Do large portion sizes increase bite size and eating rate in overweight women?,"Increasing portion size led to a larger bite size and faster eating rate, but a slower reduction in eating speed during the meal. These changes may underlie greater energy intakes with exposure to large portions. Interventions to reduce bite size and slow eating rate may provide individuals with strategies to reduce the risk of overconsumption."
