,QUESTION,CONTEXTS,LABELS,MESHES,YEAR,reasoning_required_pred,reasoning_free_pred,final_decision,LONG_ANSWER
22344317,Do cognitive deficits in adults with ADHD go beyond comorbidity effects?,"['This study addresses if deficits in cognitive, attention, and inhibitory control performance in adults with ADHD are better explained by the disorder itself or by comorbid conditions.', 'Adult patients with ADHD (n = 352) and controls (n = 94) were evaluated in the ADHD program of a tertiary hospital. The diagnostic process for ADHD and comorbidities was based on Diagnostic and Statistical Manual of Mental Disorders (4th ed.; DSM-IV) criteria. Stepwise regression analyses evaluated the effect of ADHD, demographics, and comorbidities on the scores from Wechsler Adult Intelligence Scale-Revised, Continuous Performance Test, and Stroop Color and Word Test.', 'Patients with ADHD of both genders had worse performance on neuropsychological domains, even after adjustment for comorbidities. The presence of comorbid bipolar disorder and specific phobia are associated with more Stroop errors, whereas patients with generalized anxiety disorder present a longer execution time in Stroop.']","['OBJECTIVE', 'METHODS', 'RESULTS']","['Adult', 'Anxiety Disorders', 'Attention', 'Attention Deficit Disorder with Hyperactivity', 'Bipolar Disorder', 'Cognition Disorders', 'Comorbidity', 'Diagnostic and Statistical Manual of Mental Disorders', 'Female', 'Humans', 'Inhibition (Psychology)', 'Male', 'Neuropsychological Tests', 'Psychiatric Status Rating Scales', 'Stroop Test', 'Tertiary Care Centers', 'Wechsler Scales', 'Young Adult']",,,,yes,Neuropsychological deficits in adults with ADHD go beyond comorbidity. Specific comorbid disorders may influence the neuropsychological functioning in adults with ADHD.
26822939,Is polygenic risk for coronary artery disease associated with cognitive ability in older adults?,"['Coronary artery disease (CAD) is associated with cognitive decrements and risk of later dementia, but it is not known if shared genetic factors underlie this association. We tested whether polygenic risk for CAD was associated with cognitive ability in community-dwelling cohorts of middle-aged and older adults.', 'Individuals from Generation Scotland: Scottish Family Health Study (GS:SFHS, N = 9865) and from the Lothian Birth Cohorts of 1921 (LBC1921, N\u2009=\u2009517) and 1936 (LBC1936, N\u2009=\u20091005) provided cognitive data and genome-wide genotype data. Polygenic risk profile scores for CAD were calculated for all of the cohorts using the largest available genome-wide association studies (GWAS) data set, the CARDIoGRAM consortium (22\u2009233 cases and 64\u2009762 controls). Polygenic risk profile scores for CAD were then tested for their association with cognitive abilities in the presence and absence of manifest cardiovascular disease.', 'A meta-analysis of all three cohorts showed a negative association between CAD polygenic risk and fluid cognitive ability (β\u2009=\u2009-0.022, P\u2009=\u20090.016), verbal intelligence (β\u2009=\u2009-0.024, P\u2009=\u20090.011) and memory (β\u2009=\u2009-0.021, P\u2009=\u20090.028).']","['BACKGROUND', 'METHODS', 'RESULTS']",[],,,,yes,Increased polygenic risk for CAD is associated with lower cognitive ability in older adults. Common genetic variants may underlie some of the association between age-related cognitive decrements and the risk for CAD.
26836830,Do a Novel Mutation in DMD ( c.10797+5G > A ) Causes Becker Muscular Dystrophy Associated with Intellectual Disability?,"['Severe intellectual disability has been reported in a subgroup of patients with Duchenne muscular dystrophy but is not typically associated with Becker muscular dystrophy.', 'The authors report a 13-year-old boy, with severe intellectual disability (Wechsler Intelligence Scales for Children-IV, Full Scale IQ < 0.1 percentile), attention-deficit hyperactivity disorder, and mild muscle weakness. He had elevated serum creatine kinase and dystrophic changes on muscle biopsy. Dystrophin immunohistochemistry revealed decreased staining with the C-terminal and mid-rod antibodies and essentially absent staining of the N-terminal immunostain. Sequencing of muscle mRNA revealed aberrant splicing due to a c.10797+5G > A mutation in DMD.']","['BACKGROUND', 'METHODS']","['Adolescent', 'Dystrophin', 'Humans', 'Intellectual Disability', 'Male', 'Muscular Dystrophy, Duchenne', 'Mutation']",,,,yes,"Dystrophinopathy may be associated with predominantly cognitive impairment and neurobehavioral disorder, and should be considered in the differential diagnosis of unexplained cognitive or psychiatric disturbance in males."
26834474,Is higher emotional intelligence related to lower test anxiety among students?,"['For students attending university courses, experiencing test anxiety (TA) dramatically impairs cognitive performance and success at exams. Whereas TA is a specific case of social phobia, emotional intelligence (EI) is an umbrella term covering interpersonal and intrapersonal skills, along with positive stress management, adaptability, and mood. In the present study, we tested the hypothesis that higher EI and lower TA are associated. Further, sex differences were explored.', 'During an exam week, a total of 200 university students completed questionnaires covering sociodemographic information, TA, and EI.', 'Higher scores on EI traits were associated with lower TA scores. Relative to male participants, female participants reported higher TA scores, but not EI scores. Intrapersonal and interpersonal skills and mood predicted low TA, while sex, stress management, and adaptability were excluded from the equation.']","['BACKGROUND', 'METHODS', 'RESULTS']",[],,,,yes,"The pattern of results suggests that efforts to improve intrapersonal and interpersonal skills, and mood might benefit students with high TA. Specifically, social commitment might counteract TA."
23480321,Is long-term administration of intranasal oxytocin a safe and promising therapy for early adolescent boys with autism spectrum disorders?,"['Oxytocin (OT) has been a candidate for the treatment of autism spectrum disorders (ASD), and the impact of intranasally delivered OT on ASD has been investigated. However, most previous studies were conducted by single-dose administration to adults; and, therefore, the long-term effect of nasal OT on ASD patients and its effect on children remain to be clarified.', 'We conducted a singled-armed, open-label study in which OT was administered intranasally over the long term to eight male youth with ASD (10-14 years of age; intelligence quotient [IQ] 20-101). The OT administration was performed in a stepwise increased dosage manner every 2 months (8, 16, 24\u2009IU/dose). A placebo period (1-2 weeks) was inserted before each step. The outcome measures were autism diagnostic observation schedule--generic (ADOS-G), child behavior checklist (CBCL), and the aberrant behavior checklist (ABC). In addition, side effects were monitored by measuring blood pressure and examining urine and blood samples.', 'Six of the eight participants showed improved scores on the communication and social interaction domains of the ADOS-G. However, regarding the T-scores of the CBCL and the scores of the ABC, we could not find any statistically significant improvement, although several subcategories showed a mild tendency for improvement. Caregivers of five of the eight participants reported certain positive effects of the OT therapy, especially on the quality of reciprocal communication. All participants showed excellent compliance and no side effects.']","['OBJECTIVE', 'METHODS', 'RESULTS']","['Administration, Intranasal', 'Adolescent', 'Child', 'Child Development Disorders, Pervasive', 'Dose-Response Relationship, Drug', 'Humans', 'Male', 'Medication Adherence', 'Oxytocin', 'Time Factors', 'Treatment Outcome']",,,,yes,"Although our results on the efficacy of long-term nasal OT therapy still remain controversial, to the best of our knowledge, this is the first report documenting the safety of long-term nasal OT therapy for children with ASD. Even though our data are too preliminary to draw any definite conclusions about efficacy, they do suggest this therapy to be safe, promising, and worthy of a large-scale, double-blind placebo-controlled study."
27653922,Does catechol-O-methyltransferase Val158Met polymorphism influence prefrontal executive function in early Parkinson 's disease?,"[""The catechol-O-methyltransferase (COMT) Val158Met polymorphism has been proposed to be associated with increased risk of Parkinson's disease (PD) and have a specific impact on dopamine-mediated prefrontal executive function in an inverted-U curve manner. We explored the influence of this genetic polymorphism on prefrontal executive function in a well-established Chinese cohort of early PD patients with no current or past history of motor fluctuations or dyskinesias."", 'Cognitive functions were assessed in 250 patients with early PD using Wechsler Adult Intelligence Scale-Chinese Revision (WAIS-RC) and Wechsler Memory Scale-Chinese Revision (WMS-RC). These patients and 300 healthy controls were subsequently genotyped for the COMT gene Val158Met polymorphism. We employed analysis of covariance (ANCOVA) and a stratified analysis to determine the associations between the COMT Val158Met genotype and cognitive functions.', 'The COMT Val158Met allele frequency and genotype distributions showed no statistically significant differences between PD patients and controls. However, patients with met/met genotype performed significantly worse on WAIS-RC similarities, a measure of executive function, compared to individuals with val/val genotype. Subsequent ANCOVA analysis revealed that COMT genotype interacted with sex and daily levodopa equivalent dose (LED) to influence executive function. Further stratified analysis showed that the lower-activity COMT met/met genotype has a detrimental effect on executive function among women.']","['OBJECTIVE', 'METHODS', 'RESULTS']","['Adult', 'Aged', 'Aged, 80 and over', 'Analysis of Variance', 'Catechol O-Methyltransferase', 'Cognition Disorders', 'Executive Function', 'Female', 'Gene Frequency', 'Genotype', 'Humans', 'Male', 'Methionine', 'Middle Aged', 'Neuropsychological Tests', 'Parkinson Disease', 'Polymorphism, Genetic', 'Severity of Illness Index', 'Valine', 'Wechsler Scales', 'Young Adult']",,,,yes,"Our results demonstrate that COMT Val158Met polymorphism is probably not associated with increased risk of PD, but has an effect on prefrontal executive function interacting with gender and dopaminergic medication."
25614147,Is language dysfunction associated with age of onset of benign epilepsy with centrotemporal spikes in children?,"['To assess the language function of children with benign epilepsy with centrotemporal spikes (BECTS), and investigate associated risk factors.', 'The language function of 63 children with BECTS and 30 healthy controls was assessed using the language subtest of the Chinese version of the Wechsler Intelligence Scale for Children (C-WISC). Multiple linear regression analysis was applied to assess the risk factors of language dysfunction in children with BECTS.', 'The total score of language test of C-WISC, and the individual scores, were significantly lower in children with BECTS compared with the scores attained by the healthy controls, and were also significantly lower in children with BECTS with onset earlier than 6 years of age compared with those whose disease onset occurred later. There were no significant correlations between language function and treatment, frequency of seizures, lateralization of centrotemporal spikes, or duration of seizures, but there was a positive correlation between language dysfunction and the age at disease onset.']","['OBJECTIVE', 'METHODS', 'RESULTS']","['Adolescent', 'Age of Onset', 'Child', 'Child, Preschool', 'Epilepsy, Rolandic', 'Female', 'Humans', 'Language Development Disorders', 'Language Tests', 'Linear Models', 'Male', 'Risk Factors', 'Seizures']",,,,yes,"Children with BECTS have language difficulties, especially those with earlier disease onset. Early age at seizure onset is a risk factor for language dysfunction in children with BECTS."
27458541,Are parental bonding and neuropsychological performance associated with episodic simulation of future events in trauma-exposed patients with major depressive disorder?,"['Major depressive disorder (MDD) and trauma-related disorders are associated with deficits in remembering the past and imagining the future (i.e., episodic simulation). We examined parental bonding and neuropsychological performance in relation to episodic simulation in trauma-exposed patients with recurrent MDD.', 'Trauma-exposed patients with MDD (n\xa0=\xa021) and matched controls (n\xa0=\xa020) completed a future-oriented Autobiographical Interview, the Parental Bonding Instrument, and a standardized neuropsychological battery.', 'Patients with major depressive disorder generated fewer episodic details for future neutral events compared to controls. Although higher reported levels of maternal care were associated with increased specificity of negative future events among the patient group, higher maternal overprotection was related to decreased specificity of negative and positive future events. Higher levels of performance on measures of intelligence, verbal memory, executive functioning, and sustained attention were associated with increased specificity of future events.']","['BACKGROUND', 'METHODS', 'RESULTS']","['Adult', 'Case-Control Studies', 'Depressive Disorder, Major', 'Female', 'Humans', 'Imagination', 'Interview, Psychological', 'Latency Period (Psychology)', 'Male', 'Parent-Child Relations', 'Psychiatric Status Rating Scales', 'Stress Disorders, Post-Traumatic']",,,,yes,Maternal relations during childhood and neuropsychological performance are related to the specificity of episodic simulation in adult patients with MDD. Childhood experience continues to influence memory performance into adulthood.
27554199,Is increased diffusivity in gray matter in recent onset schizophrenia associated with clinical symptoms and social cognition?,"['Diffusion weighted MRI (dMRI) is a method sensitive to pathological changes affecting tissue microstructure. Most dMRI studies in schizophrenia, however, have focused solely on white matter. There is a possibility, however, that subtle changes in diffusivity exist in gray matter (GM). Accordingly, we investigated diffusivity in GM in patients with recent onset schizophrenia.', 'We enrolled 45 patients and 21 age and sex-matched healthy controls. All subjects were evaluated using the short form of the Wechsler Adult Intelligence Scale, the Positive and Negative Syndrome Scale (PANSS), and the video based social cognition scale. DMRI and T1W images were acquired on a 3 Tesla magnet, and mean Fractional Anisotropy (FA), Trace (TR) and volume were calculated for each of the 68 cortical GM Regions of Interest parcellated using FreeSurfer.', 'There was no significant difference of FA and GM volume between groups after Bonferroni correction. For the dMRI measures, however, patients evinced increased TR in the left bank of the superior temporal sulcus, the right inferior parietal, the right inferior temporal, and the right middle temporal gyri. In addition, higher TR in the right middle temporal gyrus and the right inferior temporal gyrus, respectively, was associated with decreased social function and higher PANSS score in patients with schizophrenia.']","['BACKGROUND', 'METHODS', 'RESULTS']","['Adult', 'Brain', 'Cognition', 'Diffusion Magnetic Resonance Imaging', 'Female', 'Gray Matter', 'Humans', 'Image Processing, Computer-Assisted', 'Male', 'Organ Size', 'Psychiatric Status Rating Scales', 'Schizophrenia', 'Schizophrenic Psychology', 'Social Perception', 'Wechsler Scales']",,,,yes,"This study demonstrates high sensitivity of dMRI to subtle pathology in GM in recent onset schizophrenia, as well as an association between increased diffusivity in temporal GM regions and abnormalities in social cognition and exacerbation of psychiatric symptoms."
23696406,Do [ Surgical management of pyloric stenosis induced by gastrointestinal chemical burn in children ]?,"['To investigate the efficacy of surgical management for pyloric stenosis induced by gastrointestinal chemical burn in children.', 'Clinical data of 11 children with pyloric stenosis induced by gastrointestinal chemical burn were analyzed retrospectively. After the failure of medicine, intervention of low balloon expansion and stent placement, they underwent pylorectomy and gastroduodenostomy. The body weight, height, serum albumin, hemoglobin, transferrin were compared between 1 day before and 3 months after operation.', 'There were 10 males and 1 female with a mean age of 4.5 years old. The main cause of serious pyloric stenosis was the wrong intake of hydrochloric acid. Lesions involved the esophagus and stomach in the early stage, and 4 weeks later, the lesion mainly involved the pylorus, which resulted in scarring pyloric stenosis and complete pyloric obstruction. Pylorectomy and gastroduodenostomy was successfully performed. The mean operative time was (134±26) min. The estimated blood loss was (5±2) ml. The postoperative length of stay was (10±3) d. There were no surgical complications. During the follow-up of 3 months, all the patients resumed regular diet. The height, body weight, and intelligence appeared to be normal. They showed significant improvement in weight, serum albumin, globulin, hemoglobin, transferrin at 3 months after the surgery(P<0.05). Six months after surgery, the anastomosis was shown to be nornal in barium follow through exam with no signs of stricture of ulcer.']","['OBJECTIVE', 'METHODS', 'RESULTS']","['Burns, Chemical', 'Child', 'Gastrectomy', 'Gastroenterostomy', 'Humans', 'Pyloric Stenosis', 'Pylorus']",,,,yes,"Pylorectomy and gastroduodenostomy is an effective management for pyloric stenosis induced by gastrointestinal chemical burn in children, whose short-term efficacy is good."
23527993,Is occupational outcome in bipolar disorder predicted by premorbid functioning and intelligence?,"['Bipolar disorder (BD), over the long term, can manifest a variety of outcomes depending on a number of different conditions. There is a need for further knowledge regarding preventive factors as well as predictors of the disabling course of the disorder. Studies regarding the impact on functional outcome of premorbid and current general intellectual function [intelligence quotient (IQ)] and premorbid functioning in BD patients are sparse. The present study addressed the role of premorbid functioning [assessed with the Premorbid Adjustment Scale (PAS)], intelligence, course of illness, and sociodemographics on occupational outcome in BD.', 'Bipolar disorder patients were recruited consecutively from psychiatric units (outpatient and inpatient) in four major hospitals in Oslo, Norway [(N = 226: 64.4% bipolar I disorder (BD-I); 30.1% bipolar II disorder (BD-II); 5.5% bipolar disorder not otherwise specified (BD-NOS); 38.6% males]. The associations between current IQ, premorbid IQ [assessed using the National Adult Reading Test (NART)], PAS, clinical and sociodemographic characteristics, and receipt of disability benefit were analysed using descriptive statistics and logistic regression analyses.', 'The number of hospitalizations for depressive episodes and illness duration was associated with a higher risk of receipt of disability benefit. PAS, premorbid and current IQ, as well as decline in IQ, did not explain the higher risk of receipt of disability benefits.']","['OBJECTIVE', 'METHODS', 'RESULTS']","['Adult', 'Bipolar Disorder', 'Cognition Disorders', 'Demography', 'Employment', 'Female', 'Humans', 'Intelligence', 'Intelligence Tests', 'Logistic Models', 'Longitudinal Studies', 'Male', 'Middle Aged', 'Norway', 'Psychiatric Status Rating Scales', 'Reading', 'Retrospective Studies']",,,,no,"Severe clinical course of BD was associated with receipt of disability benefit. Occupational outcome was unrelated to PAS, premorbid and current IQ, as well as decline in IQ. This suggests that the persistence of severe clinical symptoms, rather than global cognitive functioning, determines occupational outcome in BD and emphasizes the protective potential of early and continuous clinical treatment."
24913183,Is bilateral hearing loss associated with decreased nonverbal intelligence in US children aged 6 to 16 years?,"['To evaluate the association between hearing loss and nonverbal intelligence in US children.', 'The Third National Health and Nutrition Examination Survey (NHANES III) is a cross-sectional survey (1988-1994) that used complex multistage sampling design to produce nationally representative demographic and examination data.', 'A total of 4,823 children ages 6 to 16 years completed audiometric evaluation and cognitive testing during NHANES III. Hearing loss was defined as low-frequency pure-tone average (PTA) >25 dB (0.5, 1, 2 kHz) or high-frequency PTA >25 dB (3, 4, 6, 8 kHz) and was designated as unilateral or bilateral. Nonverbal intelligence was measured using the Wechsler Intelligence Scale for Children-Revised block design subtest. Low nonverbal intelligence was defined as a standardized score <4, two standard deviations below the standardized mean of 10.', 'Mean nonverbal intelligence scores differed between children with normal hearing (9.59) and children with bilateral (6.87; P = .02) but not unilateral (9.12; P = .42) hearing loss. Non-Hispanic black race/ethnicity and family income <$20,000 were associated with 3.92 and 1.67 times higher odds of low nonverbal intelligence, respectively (odds ratio [OR]: 3.92; P < .001; OR: 1.67; P = .02). Bilateral hearing loss was independently associated with 5.77 times increased odds of low nonverbal intelligence compared to normal hearing children (OR: 5.77; P = .02). Unilateral hearing loss was not associated with higher odds of low nonverbal intelligence (OR: 0.73; P = .40).']","['OBJECTIVE', 'METHODS', 'METHODS', 'RESULTS']","['Adolescent', 'Child', 'Cross-Sectional Studies', 'Female', 'Hearing Loss, Bilateral', 'Humans', 'Intelligence', 'Male', 'United States']",,,,yes,Bilateral but not unilateral hearing loss is associated with decreased nonverbal intelligence in US children. Longitudinal studies are urgently needed to better understand these associations and their potential impact on future opportunities.
22617391,Is cognitive ability in early adulthood associated with later suicide and suicide attempt : the role of risk factors over the life course?,"['Cognitive ability/intelligence quotient (IQ) in youth has previously been associated with subsequent completed and attempted suicide, but little is known about the mechanisms underlying the associations. This study aims to assess the roles of various risk factors over the life course in explaining the observed relationships.', 'The present investigation is a cohort study based on data on IQ test performance and covariates, recorded on 49 321 Swedish men conscripted in 1969-1970, at ages 18-20 years. Information on suicides and hospital admissions for suicide attempt up to the age of 57 years, childhood and adult socio-economic position, and adult family formation, was obtained from linkage to national registers.', 'Lower IQ was associated with increased risks of both suicide and suicide attempt during the 36 years of follow-up. The associations followed a dose-response pattern. They were attenuated by approximately 45% in models controlling for social background, mental ill-health, aspects of personality and behavior, adult socio-economic position and family formation. Based on one-unit decreases in IQ test performance on a nine-point scale, the hazard ratios between ages 35 and 57 years were: for suicide 1.19 [95% confidence interval (CI) 1.13-1.25], fully adjusted 1.10 (95% CI 1.04-1.18); and for suicide attempt 1.25 (95% CI 1.20-1.31), fully adjusted 1.14 (95% CI 1.09-1.20).']","['BACKGROUND', 'METHODS', 'RESULTS']","['Adolescent', 'Adult', 'Cohort Studies', 'Humans', 'Intelligence', 'Intelligence Tests', 'Male', 'Medical Staff, Hospital', 'Mental Disorders', 'Middle Aged', 'Personality', 'Risk Factors', 'Social Adjustment', 'Suicide', 'Suicide, Attempted', 'Sweden', 'Young Adult']",,,,yes,"Cognitive ability was found to be associated with subsequent completed and attempted suicide. The associations were attenuated by 45% after controlling for risk factors measured over the life course. Psychiatric diagnosis, maladjustment and aspects of personality in young adulthood, and social circumstances in later adulthood, contributed in attenuating the associations."
26616792,Does parenting behavior at 2 years predict school-age performance at 7 years in very preterm children?,"['Parenting influences child development, but it is unclear whether early parenting behavior can influence school-age outcomes in very preterm (VPT) children, and/or if certain groups of VPT children may be more affected by early parenting behavior. These research questions were examined.', ""Participants were 147 children born <30\xa0weeks' gestation or birth weight <1250\xa0g and their primary caregiver. At term corrected age (CA), magnetic resonance imaging (MRI) was used to determine presence and severity of brain abnormality and medical data collected. High medical risk was defined as the presence of at least one of sepsis, necrotizing enterocolitis, bronchopulmonary dysplasia, moderate to severe white matter abnormality on MRI, or postnatal corticosteroids. At 2\xa0years CA, parent-child interaction was assessed, and at 7\xa0years CA, general intelligence (IQ), language, executive function, academic skills, and social-emotional functioning were assessed."", 'Higher levels of parent-child synchrony, and parent facilitation, sensitivity and positive affect at 2\xa0years were associated with better child outcomes at 7\xa0years, while higher levels of intrusiveness and negative affect were associated with poorer outcomes. Many of these relationships remained after controlling for early child cognitive development. Interactions between child medical risk (higher/lower) and parenting were limited to child reading, math, and executive functioning outcomes, with stronger relationships for lower medical risk children.']","['BACKGROUND', 'METHODS', 'RESULTS']","['Child', 'Child Development', 'Child, Preschool', 'Executive Function', 'Humans', 'Infant, Extremely Premature', 'Infant, Newborn', 'Intelligence', 'Parent-Child Relations', 'Parenting', 'Prognosis']",,,,yes,"The contribution of early parenting to VPT children's school-age performance is significant, with stronger effects for lower medical risk children in some outcomes. These findings support the premise that parenting strategies should be included in the NICU and early interventions programs for VPT infants."
25232855,Is excess of runs of homozygosity associated with severe cognitive impairment in intellectual disability?,"['The harmful effects of inbreeding are well known by geneticists, and several studies have already reported cases of intellectual disability caused by recessive variants in consanguineous families. Nevertheless, the effects of inbreeding on the degree of intellectual disability are still poorly investigated. Here, we present a detailed analysis of the homozygosity regions in a cohort of 612 patients with intellectual disabilities of different degrees.', 'We investigated (i) the runs of homozygosity distribution between syndromic and nonsyndromic ID (ii) the effect of runs of homozygosity on the ID degree, using the intelligence quotient score.', 'Our data revealed no significant differences in the first analysis; instead we detected significantly larger runs of homozygosity stretches in severe ID compared to nonsevere ID cases (P = 0.007), together with an increase of the percentage of genome covered by runs of homozygosity (P = 0.03).']","['OBJECTIVE', 'METHODS', 'RESULTS']","['Cognition Disorders', 'Consanguinity', 'Female', 'Genes, Recessive', 'Genetic Association Studies', 'Homozygote', 'Humans', 'Intellectual Disability', 'Male', 'Mutation', 'Odds Ratio', 'Phenotype']",,,,yes,"In accord with the recent findings regarding autism and other neurological disorders, this study reveals the important role of autosomal recessive variants in intellectual disability. The amount of homozygosity seems to modulate the degree of cognitive impairment despite the intellectual disability cause."
26058477,Does randomised trial of early neonatal hydrocortisone demonstrate potential undesired effects on neurodevelopment at preschool age?,"['We evaluated the neurodevelopment and growth of five- to seven-year-old children who had participated in a randomised trial of early low-dose hydrocortisone treatment to prevent bronchopulmonary dysplasia.', 'The 51 infants in the original study had birthweights of 501-1250 g and gestational ages of 23-30 weeks, required mechanical ventilation during the first 24 hours and received hydrocortisone or a placebo for 10 days. The majority (80%) of the 90% who survived to five- to seven years of age participated in this follow-up study and their growth, neuromotor, cognitive and speech development were evaluated.', 'Some neurodevelopment impairment was observed in 61% of the hydrocortisone group and 39% of the placebo group, ranging from minor neurological dysfunction to severe neurological conditions (p = 0.182). The mean full-scale intelligence quotient (IQ) was 87.8 (15.3) in the hydrocortisone group and 95.7 (15.0) in the placebo group (p = 0.135), and the mean performance IQ was 88.3 (14.5) and 99.1 (14.0) (p = 0.034), respectively. A fifth (22%) of the hydrocortisone group required physiotherapy, but none of the placebo group did (p = 0.034). The age-standardised growth was comparable between both groups.']","['OBJECTIVE', 'METHODS', 'RESULTS']","['Bronchopulmonary Dysplasia', 'Child', 'Child Development', 'Child, Preschool', 'Cognition', 'Female', 'Follow-Up Studies', 'Growth', 'Humans', 'Hydrocortisone', 'Infant, Newborn', 'Intelligence', 'Male', 'Speech']",,,,yes,"Early hydrocortisone treatment may have undesired effects on neurodevelopment at preschool age, and further safety studies are required."
26081165,Do parents tend to underestimate cognitive deficits in 10- to 13-year-olds born with an extremely low birth weight?,"['This study determined the cognitive outcomes of Finnish children born with an extremely low birth weight (ELBW) and assessed the agreement between their neuropsychological assessment and how their parents evaluated their cognitive difficulties.', 'The study focused on 121 children from an ELBW cohort with a mean age of 11.6 years (range 10.3-13.8) and assessed them using a standardised test of intelligence, a neuropsychological test battery and a parental developmental questionnaire. The results were compared with the test norms.', 'ELBW children exhibited global cognitive impairment compared to the test norms, with no differences between children who were small or appropriate for gestational age. Children with average intelligence displayed specific impairment in executive, sensorimotor and visuospatial functions. Corresponding functions in the parental evaluation and neuropsychological assessment were associated, but 16-26% of children scoring under the clinical cut-off value in the neuropsychological test domains were not detected by the parental evaluations.']","['OBJECTIVE', 'METHODS', 'RESULTS']","['Adolescent', 'Child', 'Cognition Disorders', 'Female', 'Humans', 'Infant, Extremely Low Birth Weight', 'Infant, Newborn', 'Male', 'Neuropsychological Tests', 'Parents', 'Surveys and Questionnaires']",,,,yes,"Children born with an ELBW faced a high risk of global cognitive impairment at a mean age of 11.6 years, and those with average intelligence were at risk of specific cognitive sequelae. Compared to the neuropsychological tests, up to one-fourth of the parents underestimated their child's cognitive problems."
26084366,Is prenatal Micronutrient Supplementation Associated with Intellectual Development of Young School-Aged Children?,"['Micronutrient supplementation is often prescribed during pregnancy. The effects of prenatal iron and multimicronutrient supplementation on intellectual development in young school-aged children are less than clear.', 'The aim of this study was to examine the long-term effects of prenatal iron plus folic acid or multiple micronutrient (including iron and folic acid) supplementation vs. folic acid supplementation on the intellectual development of young school-aged children in rural China.', 'Young school-aged children (aged 7-10 y, n = 1744) of women who had participated in a trial of prenatal supplementation with various combinations of micronutrients and remained residents in 2 rural counties in China were followed. We measured their intellectual development by Wechsler Intelligence Scale for Children Fourth Edition (WISC-IV). The WISC-IV generated the Full-Scale Intelligence Quotient (FSIQ), Verbal Comprehension Index (VCI), Working Memory Index (WMI), Perceptual Reasoning Index (PRI), and Processing Speed Index (PSI). Multilevel analyses were used to assess the effect of prenatal micronutrient supplementation on the intellectual development of children.', 'The mean differences in FSIQ, VCI, WMI, PRI, and PSI, respectively, were not significant between prenatal folic acid supplementation and either iron plus folic acid [-0.34 (P = 0.65), -0.06 (P = 0.95), -0.22 (P = 0.76), -0.01 (P = 0.99), and -1.26 (P = 0.11)] or multimicronutrient [-0.39 (P = 0.60), -0.64 (P = 0.48), 0.11 (P = 0.87), -0.43 (P = 0.59), and -0.34; (P = 0.65)] supplementation after adjusting for confounders.']","['BACKGROUND', 'OBJECTIVE', 'METHODS', 'RESULTS']","['Central Nervous System', 'Child', 'Child Development', 'China', 'Dietary Supplements', 'Female', 'Folic Acid', 'Humans', 'Intelligence', 'Intelligence Tests', 'Iron', 'Maternal Nutritional Physiological Phenomena', 'Micronutrients', 'Pregnancy']",,,,no,"There is no evidence to suggest a different effect on intellectual development between prenatal iron plus folic acid, multimicronutrient supplementation, and prenatal folic acid supplementation in children aged 7-10 y. This trial was registered at www.isrctn.com as ISRCTN08850194."
23410598,Are schizophrenia genetic variants associated with intelligence?,"['Schizophrenia is associated with lower pre-morbid intelligence (IQ) in addition to (pre-morbid) cognitive decline. Both schizophrenia and IQ are highly heritable traits. Therefore, we hypothesized that genetic variants associated with schizophrenia, including copy number variants (CNVs) and a polygenic schizophrenia (risk) score (PSS), may influence intelligence.', 'IQ was estimated with the Wechsler Adult Intelligence Scale (WAIS). CNVs were determined from single nucleotide polymorphism (SNP) data using the QuantiSNP and PennCNV algorithms. For the PSS, odds ratios for genome-wide SNP data were calculated in a sample collected by the Psychiatric Genome-Wide Association Study (GWAS) Consortium (8690 schizophrenia patients and 11 831 controls). These were used to calculate individual PSSs in our independent sample of 350 schizophrenia patients and 322 healthy controls.', 'Although significantly more genes were disrupted by deletions in schizophrenia patients compared to controls (p = 0.009), there was no effect of CNV measures on IQ. The PSS was associated with disease status (R 2 = 0.055, p = 2.1 × 10-7) and with IQ in the entire sample (R 2 = 0.018, p = 0.0008) but the effect on IQ disappeared after correction for disease status.']","['BACKGROUND', 'METHODS', 'RESULTS']","['Adult', 'DNA Copy Number Variations', 'Endophenotypes', 'Female', 'Genetic Predisposition to Disease', 'Genome-Wide Association Study', 'Humans', 'Intelligence', 'Male', 'Multifactorial Inheritance', 'Polymorphism, Single Nucleotide', 'Schizophrenia', 'Wechsler Scales']",,,,no,"Our data suggest that rare and common schizophrenia-associated variants do not explain the variation in IQ in healthy subjects or in schizophrenia patients. Thus, reductions in IQ in schizophrenia patients may be secondary to other processes related to schizophrenia risk."
